Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
acanthite,Ag2S,acanthite group,sulfide,"[['Ag', 2, 1], ['S', 1, -2]]","{'Ag': 87.06, 'S': 12.94}",
arsenopyrite,FeAsS,arsenopyrite group,sulfide,"[['Fe', 1, 2], ['As', 1, 0], ['S', 1, -2]]","{'Fe': 34.3, 'As': 46.01, 'S': 19.69}",
chalcocite,Cu2S,chalcocite-digenite group,sulfide,"[['Cu', 2, 1], ['S', 1, -2]]","{'Cu': 79.86, 'S': 20.14}",
chalcopyrite,CuFeS2,chalcopyrite group,sulfide,"[['Cu', 1, 1], ['Fe', 1, 3], ['S', 2, -2]]","{'Cu': 34.63, 'Fe': 30.43, 'S': 34.94}",
cobaltite,CoAsS,cobaltite group,sulfide,"[['Co', 1, 3], ['As', 1, 1], ['S', 1, -2]]","{'Co': 35.52, 'As': 45.16, 'S': 19.32}",
galena,PbS,galena group,sulfide,"[['Pb', 1, 2], ['S', 1, -2]]","{'Pb': 86.6, 'S': 13.4}",
löllingite,FeAs2,löllingite group,sulfide,"[['Fe', 1, 2], ['As', 2, -1]]","{'Fe': 27.15, 'As': 72.85}",
safflorite,CoAs2,löllingite group,sulfide,"[['Co', 1, 2], ['As', 2, -1]]","{'Co': 28.23, 'As': 71.77}",
rammelsbergite,NiAs2,löllingite group,sulfide,"[['Ni', 1, 2], ['As', 2, -1]]","{'Ni': 28.15, 'As': 71.85}",
molybdenite,MoS2,molybdenite group,sulfide,"[['Mo', 1, 4], ['S', 2, -2]]","{'Mo': 59.94, 'S': 40.06}",
millerite,NiS,nan,sulfide,"[['Ni', 1, 2], ['S', 1, -2]]","{'Ni': 64.67, 'S': 35.33}",
bornite,Cu5FeS4,nan,sulfide,"[['Cu', 5, 1], ['Fe', 1, 3], ['S', 4, -2]]","{'Cu': 63.32, 'Fe': 11.13, 'S': 25.56}",
covellite,CuS,nan,sulfide,"[['Cu', 1, 2], ['S', 1, -2]]","{'Cu': 66.47, 'S': 33.53}",
cinnabar,HgS,nan,sulfide,"[['Hg', 1, 2], ['S', 1, -2]]","{'Hg': 86.22, 'S': 13.78}",
enargite,Cu3AsS4,nan,sulfide,"[['Cu', 3, 1], ['As', 1, 5], ['S', 4, -2]]","{'Cu': 48.41,  'As': 19.02, 'S': 32.57}",
realgar,As4S4,nan,sulfide,"[['As', 4, 2], ['S', 4, -2]]","{'As': 70.03, 'S': 29.97}",
orpiment,As2S3,nan,sulfide,"[['As', 2, 3], ['S', 3, -2]]","{'As': 60.91, 'S': 39.09}",
nickeline,NiAs,nickeline group,sulfide,"[['Ni', 1, 2], ['As', 1, -2]]","{'Ni': 43.93, 'As': 56.07}",
pentlandite,"(Ni,Fe)9S8",pentlandite group,sulfide,"[['Ni', 4.5, 2], ['Fe', 4.5, 2], ['S', 8, -2]]","{'Ni': 34.22, 'Fe': 32.56, 'S': 33.23}",
pyrargyrite,Ag3SbS3,proustite grooup,sulfide,"[['Ag', 3, 1], ['Sb', 1, 3], ['S', 3, -2]]","{'Ag': 59.76, 'Sb': 22.48, 'S': 17.76}",
proustite,Ag3AsS3,proustite grooup,sulfide,"[['Ag', 3, 1], ['As', 1, 3], ['S', 3, -2]]","{'Ag': 65.41, 'As': 15.14, 'S': 19.44}",
pyrite,FeS2,pyrite group,sulfide,"[['Fe', 1, 2], ['S', 2, 1]]","{'Fe': 46.55, 'S': 53.45}",
troilite,FeS,pyrrhotite group,sulfide,"[['Fe', 1, 2], ['S', 1, -2]]","{'Fe': 63.53, 'S': 36.47}",
pyrrhotite*,Fe7S8,pyrrhotite group,sulfide,"[['Fe', 5, 2], ['Fe', 2, 3], ['S', 8, -2]]","{'Fe': 60.38, 'S': 39.62}",
skutterudite,CoAs3,skutterudite group,sulfide,"[['Co', 1, 3], ['As', 3, -1]]","{'Co': 20.77, 'As': 79.23}",
nickelskutterudite,NiAs3,skutterudite group,sulfide,"[['Ni', 1, 3], ['As', 3, -1]]","{'Ni': 20.71, 'As': 79.29}",
sphalerite,ZnS,sphalerite group,sulfide,"[['Zn', 1, 2], ['S', 1, -2]]","{'Zn': 67.1, 'S': 32.9}",
stibnite,Sb2S3,stibnite group,sulfide,"[['Sb', 2, 3], ['S', 3, -2]]","{'Sb': 71.69, 'S': 28.31}",
tennantite,Cu6(Cu4C2+2)As4S12S,tennantite subgroup,sulfide,"[['Cu', 6, 1], ['Cu', 4, 1], ['As', 4, 3], ['S', 13, -2]]","{'Cu': 47, 'As': 22.17, 'S': 30.83}",
tellurantimony,Sb2Te3,tetradymite group,sulfide,"[['Sb', 2, 3], ['Te', 3, -2]]","{'Sb': 38.88, 'Te': 61.12}",
tellurobismuthite,Bi2Te3,tetradymite group,sulfide,"[['Bi', 2, 3], ['Te', 3, -2]]","{'Bi': 52.2, 'Te': 47.8}",
